t, ur1, ur2, ur3
7.519994, -18.998890, -14.693948, 16.671896
7.539994, -18.486128, -14.184627, 16.665838
7.559994, -18.503883, -15.223355, 20.729015
7.579994, -19.021128, -13.692616, 20.715965
7.599994, -19.517645, -9.591242, 19.700258
7.619994, -18.486927, -13.170033, 20.736052
7.639994, -20.537354, -13.698586, 18.700079
7.659994, -18.510653, -10.656070, 18.192511
7.679994, -17.493263, -10.145394, 15.645863
7.699994, -18.497869, -11.143709, 14.646449
7.719994, -17.977673, -12.663574, 15.166790
7.739994, -17.987659, -9.606600, 14.132622
7.759994, -19.018709, -11.660732, 17.183260
7.779994, -17.471668, -13.691683, 17.180508
7.799994, -17.961184, -9.580656, 18.714926
7.819993, -17.444349, -12.125956, 17.682173
7.839993, -17.973124, -13.162887, 17.666571
7.859993, -17.995228, -13.185036, 21.226997
7.879993, -18.503729, -12.677600, 19.694065
7.899993, -18.991632, -17.765593, 20.226292
7.919993, -18.475277, -16.219427, 20.743065
7.939993, -18.494030, -16.233875, 22.261265
7.959993, -14.929609, -16.247858, 20.206894
7.979993, -19.013649, -16.240246, 19.193155
7.999993, -19.004217, -16.229593, 20.735807
8.019994, -15.937910, -15.722979, 19.710911
8.039994, -14.926347, -16.244972, 20.217724
8.059995, -15.951005, -14.714321, 18.688293
8.079995, -17.480923, -16.753805, 19.210732
8.099996, -16.964809, -16.750988, 17.171831
8.119996, -15.945124, -14.707930, 17.675514
8.139997, -15.953357, -18.292835, 18.177774
8.159997, -15.442238, -18.295786, 18.686209
8.179997, -15.948741, -19.307461, 17.155895
8.199998, -15.948142, -18.279852, 19.197971
8.219998, -14.928255, -18.283180, 17.658449
8.239999, -15.441039, -18.801224, 19.700369
8.259999, -13.398581, -17.781971, 18.170317
8.280000, -14.922396, -19.813366, 17.668236
8.300000, -15.429032, -18.272196, 17.159691
8.320001, -15.948940, -17.769165, 17.150635
8.340001, -14.429075, -18.808371, 19.694044
8.360002, -12.891933, -19.318604, 18.674269
8.380002, -14.918867, -19.807596, 18.688738
8.400002, -15.423906, -21.330191, 17.673540
8.420003, -13.399779, -19.306795, 18.167521
8.440003, -12.903873, -18.816183, 17.643579
8.460004, -13.405905, -18.298605, 18.675266
8.480004, -13.893899, -18.275524, 15.116100
8.500005, -13.379006, -18.781296, 16.652411
8.520005, -15.444390, -18.292458, 14.081400
8.540006, -11.884231, -18.822241, 18.154293
8.560006, -12.894064, -19.322598, 14.071923
8.580007, -15.938376, -19.295965, 16.644043
8.600007, -12.871737, -17.759466, 15.106113
8.620008, -13.397294, -18.797607, 17.646042
8.640008, -9.827613, -18.293812, 15.086339
8.660008, -10.332763, -18.793612, 15.095771
8.680009, -10.839843, -18.273016, 15.617499
8.700009, -10.337778, -18.794344, 12.553545
8.720010, -10.347877, -15.230657, 12.550971
8.740010, -10.347300, -16.767855, 12.551637
8.760011, -9.309126, -21.862993, 12.050527
8.780011, -10.324796, -15.208685, 13.583486
8.800012, -10.843794, -16.748436, 12.552413
8.820012, -10.343860, -15.744772, 13.059339
8.840013, -9.828390, -14.217139, 11.529686
8.860013, -11.350630, -13.698074, 12.566617
8.880013, -10.321999, -12.160399, 9.511452
8.900014, -9.815828, -11.143288, 10.025789
8.920014, -9.824883, -10.130947, 10.537563
8.940015, -10.847344, -7.068213, 6.965264
8.960015, -10.832297, -8.081420, 8.002306
8.980016, -11.336382, -8.588855, 7.495293
9.000016, -10.827415, -8.080266, 10.041835
9.020017, -8.782471, -8.077713, 7.994117
9.040017, -10.310791, -8.067172, 5.438708
9.060018, -7.758379, -8.065529, 5.943935
9.080018, -7.770918, -7.055718, 6.441140
9.100019, -7.770563, -4.500476, 7.971502
9.120019, -9.287332, -6.018765, 7.472278
9.140019, -7.743220, -5.496349, 5.435823
9.160020, -7.748613, -4.992532, 7.472101
9.180020, -7.760798, -5.515236, 8.483576
9.200021, -7.764771, -5.516812, 8.991788
9.220021, -7.748480, -6.008645, 6.446422
9.240022, -7.740180, -4.465677, 6.960293
9.260022, -7.758401, -4.485673, 8.990301
9.280023, -6.746104, -5.008733, 10.005394
9.300023, -5.199497, -6.015592, 7.973610
9.320024, -8.763118, -5.486429, 8.499399
9.340024, -7.241445, -4.984853, 7.469127
9.360024, -5.214033, -4.492642, 11.035079
9.380025, -4.703291, -5.005781, 5.926225
9.400025, -5.198098, -5.495906, 6.966130
9.420026, -4.689975, -4.986650, 5.943003
9.440026, -4.695945, -3.973034, 10.538185
9.460027, -5.212036, -6.535345, 6.958828
9.480027, -4.690707, -3.971680, 7.989035
9.500028, -4.176503, -4.987738, 6.455743
9.520028, -5.198786, -6.008801, 6.965353
9.540029, -5.204468, -4.992732, 9.001731
9.560029, -6.737649, -6.526667, 11.038630
9.580029, -8.259400, -5.493553, 10.020241
9.600030, -7.739692, -5.487628, 10.529663
