t, x1_compfilter, x1_phiobs, x1_fullobs
5.719995, 0.021147, -0.004133, 0.001582
5.739995, 0.021480, -0.003980, 0.000675
5.759995, 0.021936, -0.003319, -0.000013
5.779995, 0.022588, -0.001836, -0.000190
5.799995, 0.023377, 0.000476, 0.000745
5.819995, 0.024905, 0.003605, 0.002321
5.839995, 0.026535, 0.006114, 0.004538
5.859995, 0.028280, 0.008116, 0.006239
5.879995, 0.029969, 0.008934, 0.007746
5.899995, 0.031440, 0.008863, 0.008945
5.919995, 0.032668, 0.031320, 0.031407
5.939995, 0.032049, 0.021019, 0.036751
5.959995, 0.030364, 0.026184, 0.026090
5.979995, 0.027450, 0.014930, 0.025070
5.999995, 0.024824, 0.014311, 0.020031
6.019995, 0.022147, 0.011193, 0.015265
6.039995, 0.019940, 0.009387, 0.010560
6.059995, 0.018218, 0.007638, 0.007078
6.079995, 0.016523, 0.007140, 0.003553
6.099995, 0.015063, 0.006214, 0.000568
6.119995, 0.013697, 0.004747, -0.001255
6.139995, 0.012644, 0.004037, -0.002960
6.159995, 0.011508, 0.002989, -0.004132
6.179995, 0.010863, 0.002547, -0.005445
6.199995, 0.009862, 0.001716, -0.006488
6.219995, 0.009300, 0.001465, -0.007881
6.239995, 0.008710, 0.000669, -0.009003
6.259995, 0.007977, -0.000381, -0.009733
6.279995, 0.007484, -0.000976, -0.010635
6.299995, 0.006655, -0.002342, -0.010939
6.319995, 0.005909, -0.003038, -0.011349
6.339995, 0.005189, -0.004224, -0.011190
6.359995, 0.004930, -0.004579, -0.011402
6.379995, 0.005007, -0.004830, -0.011953
6.399995, 0.005526, -0.005635, -0.011815
6.419995, 0.005807, -0.005486, -0.012112
6.439995, 0.005635, -0.006020, -0.011900
6.459995, 0.005750, -0.005958, -0.011605
6.479995, 0.006045, -0.005541, -0.011591
6.499995, 0.006358, -0.005490, -0.011494
6.519995, 0.006622, -0.005522, -0.011160
6.539995, 0.006932, -0.005500, -0.010562
6.559995, 0.007483, -0.004728, -0.010714
6.579995, 0.007817, -0.004733, -0.010478
6.599995, 0.008275, -0.004697, -0.009866
6.619995, 0.008798, -0.003832, -0.010039
6.639995, 0.008855, -0.003601, -0.010226
6.659995, 0.009161, -0.003837, -0.009984
6.679995, 0.009322, -0.003888, -0.009574
6.699995, 0.009658, -0.003785, -0.009109
6.719995, 0.010255, -0.003942, -0.008325
6.739995, 0.011100, -0.003576, -0.007424
6.759995, 0.011910, -0.003461, -0.006011
6.779994, 0.012621, -0.002931, -0.004724
6.799994, 0.013264, -0.001804, -0.004264
6.819994, 0.013922, -0.000851, -0.004360
6.839994, 0.014605, -0.000528, -0.004452
6.859994, 0.014824, -0.000352, -0.004497
6.879994, 0.015055, -0.000280, -0.004879
6.899994, 0.015295, -0.000590, -0.005163
6.919994, 0.015351, -0.000788, -0.005360
6.939994, 0.015228, -0.001030, -0.005426
6.959994, 0.015214, -0.001626, -0.005086
6.979994, 0.015656, -0.001876, -0.004802
6.999994, 0.015780, -0.002338, -0.004449
7.019994, 0.015697, -0.002592, -0.004118
7.039994, 0.016130, -0.002722, -0.003517
7.059994, 0.016645, -0.002925, -0.002579
