t, ur1, ur2, ur3
5.379996, 1.522097, 1.262430, -2.221135
5.399996, 0.034889, 1.333560, -0.807842
5.419996, 0.114830, 1.373463, -2.953056
5.439996, 0.205157, 1.399341, -1.495266
5.459996, 0.290357, 1.424397, -2.059449
5.479996, 0.366391, 0.927748, -2.092628
5.499996, 0.432883, 1.440421, -2.105900
5.519996, 0.490363, 1.428214, -2.101262
5.539996, 0.522410, 1.393926, -1.548796
5.559996, 0.535038, 0.856196, -0.996064
5.579996, 0.557121, 1.336423, -1.980929
5.599996, 0.583043, 1.283980, -0.910242
5.619996, 0.098244, 1.737230, -1.369585
5.639996, 0.625099, 1.681836, -1.312015
5.659996, 0.620771, 1.129847, -1.255822
5.679996, 0.610851, 1.089455, -0.688620
5.699996, 0.618641, 1.028779, -1.144345
5.719995, 1.147215, 0.956451, -0.583201
5.739995, 0.644540, 1.398848, -1.552953
5.759995, 0.628317, -9.909664, -0.969705
5.779995, 0.596669, 0.758553, 2.177429
5.799995, 0.565554, 0.699430, -1.835747
5.819995, 0.536015, 0.642015, -1.766460
5.839995, 0.505965, 0.578365, -0.668786
5.859995, 0.470789, 1.020319, -0.583563
5.879995, 0.943392, 0.440123, 0.523676
5.899995, 0.391492, 0.381865, -0.932427
5.919995, 0.353941, 0.330088, -0.867290
5.939995, 0.332014, 0.280930, -0.821283
5.959995, 0.324069, -0.268651, 0.220996
5.979995, 0.327886, 0.213906, -0.291765
5.999995, 0.337229, -0.313970, -0.310297
6.019995, 0.342245, 0.186830, -0.841834
6.039995, 0.330349, 0.688329, 0.179095
6.059995, 0.310464, 0.681870, -1.345741
6.079995, 0.290867, 0.167100, -0.316001
6.099995, 0.278461, 0.160819, 0.204396
6.119995, 0.267764, 0.153673, -0.803040
6.139995, 0.260418, 0.149146, -0.787527
6.159995, 0.260618, -0.365281, -0.260961
6.179995, 0.264613, 0.656326, -0.246114
6.199995, 0.275931, 0.148458, -0.237236
6.219995, 0.296083, 0.143908, 0.283093
6.239995, 0.324291, 0.132834, -0.218860
6.259995, 0.357736, 0.121315, -0.723300
6.279995, 0.388185, 0.115856, -0.205833
6.299995, 0.411399, 0.116455, -0.708319
6.319995, 0.428533, 0.119740, -0.189543
6.339995, 0.444356, 0.116122, -0.688634
6.359995, 0.456918, 0.620661, -0.168481
6.379995, 0.468214, 0.104271, -0.675140
6.399995, 0.474451, -0.413462, -0.161934
6.419995, 0.480354, 0.093618, 0.347077
6.439995, 0.490674, -0.423494, -3.233756
6.459995, 0.503280, 0.076951, -0.683463
6.479995, 0.511003, 0.581113, 0.330831
6.499995, 0.507386, 0.070115, -0.699464
