t, x2_estimate, x2_phiobs, x2_fullobs
6.439995, 0.016778, 0.007954, 0.049880
6.459995, 0.010564, 0.013628, 0.047368
6.479995, 0.002020, 0.012981, 0.036663
6.499995, 0.001864, 0.003925, 0.039383
6.519995, 0.009432, -0.000508, 0.039809
6.539995, 0.015114, 0.004377, 0.040630
6.559995, 0.009144, 0.005392, 0.041149
6.579995, -0.004283, -0.000111, 0.031346
6.599995, -0.009787, -0.008141, 0.025037
6.619995, -0.003373, -0.008867, 0.018992
6.639995, 0.005326, -0.004032, 0.023011
6.659995, 0.000244, -0.007034, 0.029196
6.679995, -0.017577, -0.021959, 0.023170
6.699995, -0.030250, -0.033673, 0.007538
6.719995, -0.027187, -0.035590, 0.001798
6.739995, -0.016934, -0.032385, 0.007639
6.759995, -0.014603, -0.028002, 0.012940
6.779994, -0.024257, -0.028123, 0.011537
6.799994, -0.033334, -0.032744, 0.004791
6.819994, -0.029118, -0.034855, 0.003723
6.839994, -0.014093, -0.023324, 0.002931
6.859994, 0.001443, -0.002090, 0.009331
6.879994, -0.000999, -0.000440, 0.028062
6.899994, -0.017289, -0.012910, 0.014839
6.919994, -0.020995, -0.020924, 0.005186
6.939994, -0.013449, -0.024338, 0.006590
6.959994, -0.004683, -0.016676, 0.006316
6.979994, -0.002974, -0.003376, 0.005062
6.999994, -0.010165, -0.002976, 0.012055
7.019994, -0.014781, -0.014549, 0.011904
7.039994, -0.006924, -0.015221, 0.008609
7.059994, 0.002685, -0.015425, 0.027862
7.079994, -0.000399, -0.015139, 0.027734
7.099994, -0.012961, -0.019377, 0.028280
7.119994, -0.019597, -0.019517, 0.013038
7.139994, -0.005482, -0.006950, 0.012993
7.159994, 0.015491, 0.016012, 0.017914
7.179994, 0.023325, 0.029311, 0.029287
7.199994, 0.010675, 0.018658, 0.033367
7.219994, -0.004061, 0.000612, 0.017456
7.239994, -0.003728, -0.012904, 0.017167
7.259994, 0.002996, -0.016839, 0.019130
7.279994, 0.002796, -0.010236, 0.019652
7.299994, -0.007635, -0.006506, 0.020427
7.319994, -0.010830, -0.005401, 0.010796
7.339994, -0.000910, -0.007276, 0.019952
7.359994, 0.010875, -0.000560, 0.019555
7.379994, 0.010497, 0.003524, 0.033335
7.399994, -0.002175, -0.001045, 0.028723
7.419994, -0.004616, -0.002960, 0.020204
7.439994, 0.008345, -0.001356, 0.031836
7.459994, 0.017977, 0.005755, 0.036244
7.479994, 0.011962, 0.007320, 0.041339
7.499994, -0.004971, -0.002944, 0.032909
7.519994, -0.012162, -0.019502, 0.029029
7.539994, -0.004017, -0.020520, 0.022745
7.559994, 0.007745, -0.005255, 0.028257
7.579994, 0.001221, -0.003097, 0.040438
7.599994, -0.016024, -0.017920, 0.032944
7.619994, -0.020107, -0.026831, 0.021638
7.639994, -0.005770, -0.014841, 0.013498
7.659994, 0.005903, -0.005304, 0.035681
7.679994, -0.002463, -0.002394, 0.028287
7.699994, -0.015913, -0.008873, 0.023148
7.719994, -0.020085, -0.024490, 0.018932
7.739994, -0.011363, -0.023398, 0.009105
7.759994, 0.000777, -0.007889, 0.016436
7.779994, -0.003817, -0.002052, 0.022003
7.799994, -0.016401, -0.010607, 0.016824
7.819993, -0.016845, -0.020026, 0.012223
7.839993, -0.004017, -0.014208, 0.008923
7.859993, 0.017644, -0.002098, 0.018595
7.879993, 0.092813, 0.001934, 0.028096
