t, phi, uk, ur, tm
4.680000, 0.050093, 0.318370, -21.349892, 0.337103
4.700000, 0.056986, 0.321635, -13.681709, 0.381026
4.720000, 0.064856, 0.331055, -7.029222, 0.430490
4.740000, 0.072269, 0.356919, -7.514344, 0.474235
4.760000, 0.079852, 0.393035, 3.252729, 0.542754
4.780000, 0.087378, 0.433107, 15.556838, 0.615597
4.800000, 0.098148, 0.483563, 22.761225, 0.698898
4.820000, 0.109997, 0.556024, 29.476692, 0.796993
4.840000, 0.122345, 0.647168, 43.364834, 0.918625
4.860000, 0.136737, 0.747961, 46.020618, 1.034924
4.880000, 0.155029, 0.867403, 49.717087, 1.178939
4.900000, 0.148949, -0.007841, 27.379868, 0.677331
4.920000, 0.147455, -0.041695, 26.834967, 0.653098
4.940000, 0.145370, -0.091394, 34.961292, 0.632991
4.960000, 0.142683, -0.118683, 42.087994, 0.619853
4.980000, 0.138857, -0.162130, 48.176567, 0.592025
5.000000, 0.133772, -0.231020, 55.772655, 0.548626
5.020000, 0.127937, -0.292260, 59.799427, 0.499855
5.040000, 0.121068, -0.340199, 69.460480, 0.462810
5.060000, 0.113218, -0.406100, 76.037582, 0.407401
5.080000, 0.104506, -0.462390, 88.756317, 0.363452
5.100000, 0.094455, -0.456385, 87.229301, 0.321026
5.120000, 0.085709, -0.407141, 98.009560, 0.326504
5.140000, 0.078312, -0.375860, 99.062820, 0.312388
5.160000, 0.071510, -0.337119, 108.299553, 0.318300
5.180000, 0.066858, -0.287179, 112.948494, 0.331276
5.200000, 0.061310, -0.287269, 122.657387, 0.323893
5.220000, 0.056241, -0.251413, 127.803291, 0.328878
5.240000, 0.049039, -0.262832, 133.923828, 0.302738
5.260000, 0.043057, -0.251904, 141.599792, 0.295602
5.280000, 0.036754, -0.272752, 145.155914, 0.264266
5.300000, 0.031895, -0.273785, 156.907867, 0.262783
5.320000, 0.025950, -0.316298, 161.464355, 0.223812
5.340000, 0.019034, -0.325401, 167.076279, 0.199195
5.360000, 0.011269, -0.393729, 175.694962, 0.146364
5.380000, 0.002745, -0.428440, 180.770233, 0.101170
5.400000, -0.005561, -0.500287, 192.451385, 0.049424
5.420000, -0.018254, -0.568560, 191.872116, -0.039859
5.440000, -0.028744, -0.550722, 192.400940, -0.074777
5.460000, -0.037518, -0.551638, 190.867004, -0.115232
5.480000, -0.051103, -0.579085, 191.350616, -0.186095
5.500000, -0.061221, -0.585215, 191.344482, -0.232323
5.520000, -0.071976, -0.648266, 188.215393, -0.315011
5.540000, -0.088334, -0.724330, 188.650314, -0.422119
5.560000, -0.102441, -0.791915, 191.137787, -0.511930
5.580000, -0.117068, -0.923166, 188.451477, -0.644524
5.600000, -0.139229, -1.065449, 183.199203, -0.819088
5.620000, -0.163375, -1.227294, 187.636368, -0.995620
5.640000, -0.141882, 0.262668, 1.078294, -0.471789
5.660000, -0.136937, 0.269805, 0.574445, -0.447974
5.680000, -0.129079, 0.382573, 0.687213, -0.357823
5.700000, -0.118773, 0.506672, -16.051603, -0.279893
5.720000, -0.105396, 0.613946, -22.587397, -0.180135
5.740000, -0.092635, 0.676818, -30.700550, -0.107883
5.760000, -0.078638, 0.699849, -32.721462, -0.040060
5.780000, -0.063748, 0.681008, -43.471264, -0.004063
5.800000, -0.051472, 0.603932, -43.548336, 0.009580
5.820000, -0.040685, 0.507233, -44.667133, 0.005296
5.840000, -0.031504, 0.417502, -43.734768, 0.001104
5.860000, -0.024240, 0.350298, -44.312958, -0.002530
5.880000, -0.017899, 0.301176, -44.873188, -0.001021
5.900000, -0.012320, 0.265566, -44.908798, 0.004890
5.920000, -0.007774, 0.229551, -44.433704, 0.007047
5.940000, -0.003528, 0.191799, -44.471458, 0.006195
5.960000, 0.000227, 0.154938, -44.508320, 0.003694
5.980000, 0.003229, 0.128138, -44.024132, 0.003895
6.000000, 0.006028, 0.110170, -46.597153, 0.002512
6.020000, 0.008813, 0.097937, -44.565319, 0.011682
6.040000, 0.011105, 0.081317, -44.070953, 0.013967
6.060000, 0.012775, 0.054757, -39.498512, 0.015482
6.080000, 0.014180, 0.024688, -39.017597, 0.007229
6.100000, 0.014242, -0.005257, -38.536556, -0.006685
6.120000, 0.014087, -0.019408, -37.017746, -0.011875
6.140000, 0.013643, -0.021412, -35.997780, -0.013059
6.160000, 0.013373, -0.018189, -37.016529, -0.014307
6.180000, 0.012819, -0.014304, -35.990669, -0.013003
6.200000, 0.013509, -0.012024, -37.010365, -0.010631
6.220000, 0.014830, -0.013999, -39.567268, -0.010286
6.240000, 0.014456, -0.018440, -42.126766, -0.018409
6.260000, 0.013850, -0.019255, -39.572525, -0.017107
6.280000, 0.013467, -0.012210, -42.120533, -0.019496
6.300000, 0.013997, 0.001738, -39.551533, -0.005936
6.320000, 0.014163, 0.012278, -39.540993, 0.000068
6.340000, 0.014986, 0.014783, -41.582554, 0.001400
6.360000, 0.015402, 0.011639, -39.541634, 0.005028
6.380000, 0.015583, 0.005637, -39.547634, 0.002788
6.400000, 0.016105, -0.000656, -36.488007, 0.007007
6.420000, 0.016463, -0.003531, -36.490883, 0.007092
6.440000, 0.016529, -0.004339, -38.535637, 0.003529
6.460000, 0.016476, 0.001005, -36.486347, 0.009426
6.480000, 0.017272, 0.007058, -33.414253, 0.021016
6.500000, 0.017873, 0.003325, -34.439960, 0.019984
6.520000, 0.018911, -0.008450, -33.940750, 0.019356
6.540000, 0.018942, -0.022275, -37.020615, 0.007391
6.560000, 0.018421, -0.029869, -33.962166, 0.006510
6.580000, 0.018087, -0.030726, -34.474010, 0.003792
6.600000, 0.017749, -0.027781, -38.559078, -0.003041
6.620000, 0.017516, -0.019092, -33.951389, 0.008062
6.640000, 0.017223, -0.013320, -36.500671, 0.005416
6.660000, 0.017369, -0.016150, -37.014488, 0.003758
6.680000, 0.017076, -0.021510, -33.953808, 0.004968
6.700000, 0.016764, -0.031224, -34.474510, -0.002097
6.720000, 0.016281, -0.039556, -37.037895, -0.012638
6.740000, 0.015284, -0.042857, -33.975155, -0.013393
6.760000, 0.014200, -0.042325, -34.996597, -0.019469
6.780000, 0.013924, -0.036720, -33.969017, -0.016111
