t, phi2, phi3
7.759994, -0.030335, -0.014735
7.779994, -0.029938, -0.017869
7.799994, -0.029357, -0.019591
7.819993, -0.029410, -0.020521
7.839993, -0.028945, -0.023002
7.859993, -0.028238, -0.025674
7.879993, -0.027948, -0.026926
7.899993, -0.027487, -0.027176
7.919993, -0.027020, -0.026806
7.939993, -0.026569, -0.026772
7.959993, -0.025703, -0.027216
7.979993, -0.024814, -0.027929
7.999993, -0.024745, -0.027332
8.019994, -0.024035, -0.028152
8.039994, -0.023612, -0.027561
8.059995, -0.022789, -0.027989
8.079995, -0.021893, -0.029388
8.099996, -0.021594, -0.028700
8.119996, -0.020745, -0.029749
8.139997, -0.020471, -0.029208
8.159997, -0.019698, -0.030049
8.179997, -0.019842, -0.029122
8.199998, -0.019134, -0.029854
8.219998, -0.018186, -0.030505
8.239999, -0.017948, -0.029446
8.259999, -0.017000, -0.029935
8.280000, -0.016450, -0.029906
8.300000, -0.015631, -0.030464
8.320001, -0.015378, -0.030270
8.340001, -0.014699, -0.030986
8.360002, -0.014382, -0.030885
8.380002, -0.014110, -0.030111
8.400002, -0.013201, -0.030402
8.420003, -0.012828, -0.029863
8.440003, -0.012441, -0.030118
8.460004, -0.011765, -0.031058
8.480004, -0.011419, -0.031012
8.500005, -0.010807, -0.031397
8.520005, -0.010361, -0.031289
8.540006, -0.010081, -0.030743
8.560006, -0.010385, -0.028466
8.580007, -0.009859, -0.027937
8.600007, -0.009327, -0.026743
8.620008, -0.009405, -0.024650
8.640008, -0.008840, -0.023755
8.660008, -0.008245, -0.023526
8.680009, -0.008079, -0.023745
8.700009, -0.007880, -0.024438
8.720010, -0.007902, -0.024290
8.740010, -0.007762, -0.024299
8.760011, -0.007401, -0.024607
8.780011, -0.007190, -0.024654
8.800012, -0.006923, -0.024856
8.820012, -0.006734, -0.024703
8.840013, -0.006462, -0.024442
8.860013, -0.006573, -0.023123
8.880013, -0.006591, -0.022131
8.900014, -0.006687, -0.021687
8.920014, -0.007091, -0.020110
8.940015, -0.006777, -0.019544
8.960015, -0.006561, -0.018662
8.980016, -0.006786, -0.017732
9.000016, -0.006553, -0.018453
9.020017, -0.006574, -0.018857
9.040017, -0.006643, -0.018758
9.060018, -0.006620, -0.018184
9.080018, -0.006303, -0.018110
9.100019, -0.005816, -0.019010
9.120019, -0.006007, -0.018742
9.140019, -0.006150, -0.018537
9.160020, -0.006195, -0.018058
9.180020, -0.006476, -0.017001
9.200021, -0.006463, -0.016033
9.220021, -0.005941, -0.016001
9.240022, -0.005854, -0.015062
9.260022, -0.005671, -0.014588
9.280023, -0.005858, -0.013973
9.300023, -0.005991, -0.013512
9.320024, -0.005597, -0.013701
9.340024, -0.005689, -0.012811
9.360024, -0.005390, -0.012573
9.380025, -0.005297, -0.012768
9.400025, -0.005167, -0.013156
9.420026, -0.004967, -0.013679
9.440026, -0.005148, -0.013183
9.460027, -0.004788, -0.013368
9.480027, -0.004747, -0.012668
9.500028, -0.004978, -0.011332
9.520028, -0.005062, -0.010407
9.540029, -0.004853, -0.009979
9.560029, -0.004236, -0.010452
9.580029, -0.004269, -0.009757
9.600030, -0.004331, -0.009192
9.620030, -0.004411, -0.008885
9.640031, -0.004548, -0.008486
9.660031, -0.004244, -0.008935
9.680032, -0.004260, -0.008936
9.700032, -0.005257, -0.006892
9.720033, -0.004846, -0.007793
9.740033, -0.005101, -0.007749
9.760034, -0.005451, -0.007292
9.780034, -0.005392, -0.007673
9.800035, -0.005656, -0.007292
9.820035, -0.005686, -0.007351
9.840035, -0.005735, -0.006994
9.860036, -0.005602, -0.007105
9.880036, -0.005735, -0.006647
9.900037, -0.005686, -0.006266
9.920037, -0.005508, -0.006271
9.940038, -0.005566, -0.006172
9.960038, -0.005387, -0.006717
9.980039, -0.005111, -0.007542
10.000039, -0.005123, -0.007622
10.020040, -0.004920, -0.007786
10.040040, -0.004845, -0.007435
10.060040, -0.004180, -0.008310
10.080041, -0.003843, -0.008773
10.100041, -0.003576, -0.008861
10.120042, -0.003477, -0.008622
10.140042, -0.003559, -0.007894
10.160043, -0.003617, -0.007327
10.180043, -0.003569, -0.007080
10.200044, -0.003216, -0.007679
10.220044, -0.003128, -0.008053
10.240045, -0.003197, -0.008013
10.260045, -0.003405, -0.008262
10.280046, -0.002978, -0.010011
10.300046, -0.002800, -0.010625
10.320046, -0.002449, -0.011877
10.340047, -0.002368, -0.011811
10.360047, -0.001621, -0.013293
10.380048, -0.001173, -0.014624
10.400048, -0.001155, -0.014229
10.420049, -0.000866, -0.014455
10.440049, -0.000688, -0.013724
10.460050, -0.000471, -0.012840
10.480050, -0.000273, -0.012405
10.500051, -0.000080, -0.011379
10.520051, -0.000285, -0.010145
10.540051, 0.000117, -0.010222
10.560052, 0.000460, -0.010502
10.580052, 0.000201, -0.010086
10.600053, 0.000139, -0.010242
10.620053, -0.000017, -0.010846
10.640054, 0.000169, -0.011741
10.660054, -0.000173, -0.011174
10.680055, 0.000152, -0.011701
10.700055, 0.000471, -0.011632
10.720056, 0.000583, -0.011469
10.740056, 0.000740, -0.011515
10.760056, 0.000155, -0.010457
10.780057, 0.000028, -0.010084
10.800057, -0.000188, -0.009373
10.820058, 0.000188, -0.010064
10.840058, 0.000464, -0.010579
10.860059, 0.000766, -0.011107
10.880059, 0.000340, -0.010341
10.900060, 0.000150, -0.010113
10.920060, -0.000008, -0.010056
10.940061, 0.000437, -0.010854
10.960061, 0.000854, -0.011553
10.980062, 0.000922, -0.011757
11.000062, 0.000868, -0.011088
11.020062, 0.000570, -0.009928
11.040063, 0.000522, -0.009266
11.060063, 0.000565, -0.008737
11.080064, 0.000778, -0.008322
11.100064, 0.000567, -0.006975
11.120065, 0.000252, -0.006034
11.140065, -0.000020, -0.005620
11.160066, 0.000013, -0.006211
11.180066, 0.000018, -0.006878
11.200067, -0.000167, -0.006901
11.220067, -0.000421, -0.006766
11.240067, -0.000405, -0.007262
11.260068, -0.000347, -0.007760
11.280068, -0.000445, -0.007565
11.300069, -0.000633, -0.007158
11.320069, -0.000558, -0.007076
11.340070, -0.000493, -0.007189
11.360070, -0.000550, -0.007361
11.380071, -0.000890, -0.006605
11.400071, -0.001074, -0.005817
11.420072, -0.001118, -0.005306
11.440072, -0.000959, -0.005059
11.460073, -0.001266, -0.004140
11.480073, -0.001325, -0.003964
11.500073, -0.000980, -0.004825
11.520074, -0.001034, -0.005164
11.540074, -0.000774, -0.006146
11.560075, -0.000809, -0.006414
11.580075, -0.001224, -0.006053
11.600076, -0.001338, -0.005833
11.620076, -0.001188, -0.006000
11.640077, -0.001125, -0.005740
11.660077, -0.001023, -0.005531
11.680078, -0.000901, -0.005344
11.700078, -0.000848, -0.005218
11.720078, -0.001329, -0.004374
11.740079, -0.000718, -0.005687
11.760079, -0.001431, -0.004744
11.780080, -0.001013, -0.005906
11.800080, -0.000418, -0.007418
11.820081, -0.001070, -0.006426
11.840081, -0.000953, -0.007223
11.860082, -0.000694, -0.008087
11.880082, -0.000726, -0.008071
11.900083, -0.000117, -0.009163
11.920083, 0.000067, -0.009226
11.940084, 0.000366, -0.009299
11.960084, 0.000723, -0.009444
11.980084, 0.001087, -0.009836
12.000085, 0.001200, -0.009648
12.020085, 0.000972, -0.008764
12.040086, 0.000708, -0.007679
12.060086, 0.000722, -0.007182
12.080087, 0.000910, -0.007124
12.100087, 0.000830, -0.006784
12.120088, 0.000718, -0.006607
12.140088, 0.000443, -0.006178
12.160089, 0.000291, -0.006020
12.180089, 0.000383, -0.006416
12.200089, 0.000533, -0.006887
12.220090, 0.000722, -0.007622
12.240090, 0.000577, -0.008051
12.260091, 0.000505, -0.008497
12.280091, 0.000541, -0.008922
12.300092, 0.000533, -0.008957
12.320092, 0.000556, -0.008576
12.340093, 0.000755, -0.008745
12.360093, 0.000691, -0.008536
12.380094, 0.000619, -0.008379
12.400094, 0.000995, -0.009078
12.420094, 0.001092, -0.009061
12.440095, 0.000716, -0.008014
12.460095, 0.000710, -0.007747
