t, adc1
6.339995, 403.000000
6.359995, 404.000000
6.379995, 404.000000
6.399995, 403.000000
6.419995, 404.000000
6.439995, 404.000000
6.459995, 403.000000
6.479995, 404.000000
6.499995, 404.000000
6.519995, 403.000000
6.539995, 403.000000
6.559995, 403.000000
6.579995, 403.000000
6.599995, 403.000000
6.619995, 404.000000
6.639995, 403.000000
6.659995, 403.000000
6.679995, 403.000000
6.699995, 404.000000
6.719995, 403.000000
6.739995, 404.000000
6.759995, 403.000000
6.779994, 404.000000
6.799994, 403.000000
6.819994, 403.000000
6.839994, 404.000000
6.859994, 404.000000
6.879994, 404.000000
6.899994, 404.000000
6.919994, 403.000000
6.939994, 404.000000
6.959994, 404.000000
6.979994, 403.000000
6.999994, 404.000000
7.019994, 403.000000
7.039994, 404.000000
7.059994, 403.000000
7.079994, 403.000000
7.099994, 404.000000
7.119994, 404.000000
7.139994, 404.000000
7.159994, 403.000000
7.179994, 404.000000
7.199994, 404.000000
7.219994, 403.000000
7.239994, 404.000000
7.259994, 404.000000
7.279994, 403.000000
7.299994, 403.000000
7.319994, 403.000000
7.339994, 403.000000
7.359994, 404.000000
7.379994, 404.000000
7.399994, 403.000000
7.419994, 403.000000
7.439994, 404.000000
7.459994, 404.000000
7.479994, 403.000000
7.499994, 404.000000
7.519994, 404.000000
7.539994, 404.000000
7.559994, 404.000000
7.579994, 403.000000
7.599994, 404.000000
7.619994, 403.000000
7.639994, 403.000000
7.659994, 403.000000
7.679994, 403.000000
7.699994, 404.000000
7.719994, 404.000000
7.739994, 404.000000
7.759994, 403.000000
7.779994, 403.000000
7.799994, 404.000000
7.819993, 403.000000
7.839993, 404.000000
7.859993, 403.000000
7.879993, 404.000000
7.899993, 403.000000
7.919993, 403.000000
7.939993, 404.000000
7.959993, 403.000000
7.979993, 403.000000
7.999993, 404.000000
8.019994, 404.000000
8.039994, 403.000000
8.059995, 404.000000
8.079995, 404.000000
8.099996, 404.000000
8.119996, 404.000000
8.139997, 404.000000
8.159997, 404.000000
8.179997, 403.000000
8.199998, 404.000000
8.219998, 404.000000
8.239999, 403.000000
8.259999, 404.000000
8.280000, 404.000000
8.300000, 403.000000
8.320001, 404.000000
8.340001, 404.000000
8.360002, 403.000000
8.380002, 404.000000
8.400002, 404.000000
8.420003, 404.000000
8.440003, 404.000000
8.460004, 404.000000
8.480004, 404.000000
8.500005, 404.000000
8.520005, 404.000000
8.540006, 404.000000
8.560006, 404.000000
8.580007, 403.000000
8.600007, 404.000000
8.620008, 403.000000
8.640008, 403.000000
8.660008, 404.000000
8.680009, 403.000000
8.700009, 402.000000
8.720010, 403.000000
8.740010, 403.000000
8.760011, 403.000000
8.780011, 404.000000
8.800012, 403.000000
8.820012, 404.000000
8.840013, 404.000000
8.860013, 404.000000
8.880013, 404.000000
8.900014, 403.000000
8.920014, 404.000000
8.940015, 404.000000
8.960015, 404.000000
8.980016, 404.000000
9.000016, 404.000000
9.020017, 404.000000
9.040017, 404.000000
9.060018, 404.000000
9.080018, 404.000000
9.100019, 404.000000
9.120019, 403.000000
9.140019, 404.000000
9.160020, 404.000000
9.180020, 403.000000
9.200021, 403.000000
9.220021, 404.000000
9.240022, 403.000000
9.260022, 404.000000
9.280023, 404.000000
9.300023, 404.000000
9.320024, 403.000000
9.340024, 403.000000
9.360024, 404.000000
9.380025, 404.000000
9.400025, 403.000000
9.420026, 403.000000
9.440026, 404.000000
9.460027, 404.000000
9.480027, 404.000000
9.500028, 404.000000
9.520028, 404.000000
9.540029, 403.000000
9.560029, 404.000000
9.580029, 404.000000
9.600030, 404.000000
9.620030, 404.000000
9.640031, 403.000000
9.660031, 404.000000
9.680032, 403.000000
9.700032, 404.000000
9.720033, 405.000000
9.740033, 404.000000
9.760034, 404.000000
9.780034, 404.000000
9.800035, 404.000000
9.820035, 404.000000
9.840035, 403.000000
9.860036, 404.000000
9.880036, 404.000000
9.900037, 403.000000
9.920037, 404.000000
9.940038, 404.000000
9.960038, 403.000000
9.980039, 403.000000
