t, phi2, phi3
15.780171, -0.015324, 0.015932
15.800172, -0.016329, 0.015790
15.820172, -0.017262, 0.014975
15.840173, -0.018326, 0.014070
15.860173, -0.019417, 0.013249
15.880174, -0.020220, 0.012645
15.900174, -0.020775, 0.012481
15.920175, -0.021132, 0.012539
15.940175, -0.021045, 0.012354
15.960176, -0.020536, 0.011675
15.980176, -0.020216, 0.011471
16.000175, -0.019974, 0.011648
16.020176, -0.019483, 0.011307
16.040176, -0.019182, 0.011838
16.060177, -0.019086, 0.012753
16.080177, -0.019126, 0.014160
16.100178, -0.018050, 0.013550
16.120178, -0.017229, 0.013104
16.140179, -0.017021, 0.013991
16.160179, -0.016672, 0.014274
16.180180, -0.016339, 0.014377
16.200180, -0.015598, 0.013167
16.220181, -0.015743, 0.013649
16.240181, -0.015154, 0.012183
16.260181, -0.015090, 0.011233
16.280182, -0.015188, 0.010289
16.300182, -0.015074, 0.008967
16.320183, -0.015102, 0.007543
16.340183, -0.014478, 0.004820
16.360184, -0.014087, 0.002936
16.380184, -0.013774, 0.001341
16.400185, -0.013489, -0.000457
