t, phi2, phi3
15.540166, -0.007854, 0.007144
15.560166, -0.008097, 0.011702
15.580167, -0.008500, 0.015337
15.600167, -0.009019, 0.019344
15.620168, -0.010778, 0.022013
15.640168, -0.013270, 0.024921
15.660169, -0.015646, 0.026646
15.680169, -0.019306, 0.028421
15.700170, -0.021614, 0.027724
15.720170, -0.023105, 0.027122
15.740170, -0.024116, 0.027990
15.760171, -0.023689, 0.026825
15.780171, -0.023182, 0.026569
15.800172, -0.022058, 0.025582
15.820172, -0.020322, 0.023306
15.840173, -0.019688, 0.021687
15.860173, -0.018717, 0.017174
15.880174, -0.018578, 0.012178
15.900174, -0.018759, 0.005704
15.920175, -0.019097, 0.000158
15.940175, -0.018717, -0.005865
15.960176, -0.018293, -0.011253
15.980176, -0.017621, -0.016829
16.000175, -0.016990, -0.021861
16.020176, -0.016091, -0.026625
16.040176, -0.015021, -0.030991
16.060177, -0.014724, -0.033309
16.080177, -0.014070, -0.035157
16.100178, -0.013087, -0.036991
16.120178, -0.012525, -0.037690
16.140179, -0.011440, -0.038735
16.160179, -0.010305, -0.039746
16.180180, -0.009442, -0.040435
16.200180, -0.008588, -0.040373
16.220181, -0.007355, -0.040551
16.240181, -0.005597, -0.040772
16.260181, -0.004505, -0.039255
16.280182, -0.003614, -0.035946
16.300182, -0.002099, -0.034056
16.320183, -0.001281, -0.029669
16.340183, -0.001184, -0.024321
16.360184, -0.001399, -0.017649
16.380184, -0.000262, -0.014697
16.400185, -0.001154, -0.008560
