t, uk1, uk2, uk3)
4.959996, -0.252005, -0.189598, -0.019020
4.979996, -0.242529, -0.180587, 0.047405
4.999996, -0.215830, -0.174306, 0.112387
5.019996, -0.145056, -0.135801, 0.222000
5.039996, -0.110634, -0.159992, 0.273178
5.059996, -0.067823, -0.146454, 0.297524
5.079996, -0.062075, -0.118357, 0.310218
5.099996, -0.035310, -0.092946, 0.327951
5.119996, 0.004150, -0.059278, 0.346105
5.139996, 0.058302, -0.018620, 0.366723
5.159996, 0.125481, 0.027276, 0.383412
5.179996, 0.175172, 0.083336, 0.374601
5.199996, 0.216274, 0.152712, 0.379506
5.219996, 0.303183, 0.240842, 0.423981
5.239996, 0.359199, 0.308865, 0.424581
5.259996, 0.385920, 0.335297, 0.420985
5.279996, 0.445154, 0.380993, 0.424869
5.299996, 0.481041, 0.428553, 0.403430
5.319996, 0.502346, 0.486256, 0.373003
5.339996, 0.528912, 0.545046, 0.345417
5.359996, 0.563333, 0.573209, 0.309131
5.379996, 0.564221, 0.534993, 0.222266
5.399996, 0.580911, 0.496310, 0.171444
5.419996, 0.593805, 0.483105, 0.169269
5.439996, 0.636261, 0.525050, 0.202736
5.459996, 0.639390, 0.545290, 0.206198
5.479996, 0.598443, 0.522032, 0.172131
5.499996, 0.528845, 0.468612, 0.123683
5.519996, 0.441692, 0.399902, 0.070908
5.539996, 0.341400, 0.311395, 0.010475
5.559996, 0.217539, 0.201915, -0.064316
5.579996, 0.097118, 0.088929, -0.136400
5.599996, -0.021883, -0.021816, -0.207974
5.619996, -0.123328, -0.113364, -0.267452
5.639996, -0.228880, -0.204756, -0.334986
5.659996, -0.313059, -0.270093, -0.382147
5.679996, -0.383279, -0.329771, -0.422095
5.699996, -0.455651, -0.398348, -0.461732
5.719995, -0.525649, -0.461399, -0.488253
5.739995, -0.572854, -0.501547, -0.490539
5.759995, -0.615133, -0.530199, -0.482106
5.779995, -0.635351, -0.544469, -0.460356
5.799995, -0.641631, -0.548397, -0.439095
5.819995, -0.632222, -0.537323, -0.409534
5.839995, -0.665822, -0.580422, -0.416192
5.859995, -0.706591, -0.629026, -0.431660
5.879995, -0.676719, -0.607321, -0.368254
5.899995, -0.660030, -0.599220, -0.348768
5.919995, -0.624165, -0.580311, -0.317609
5.939995, -0.537323, -0.535148, -0.238467
5.959995, -0.440316, -0.505143, -0.168070
5.979995, -0.317742, -0.479909, -0.087242
5.999995, -0.173840, -0.409312, 0.040880
6.019995, -0.078786, -0.323268, 0.131584
6.039995, -0.013360, -0.230456, 0.186291
6.059995, 0.035154, -0.153556, 0.226505
6.079995, 0.092369, -0.075391, 0.256799
6.099995, 0.160746, 0.003751, 0.289690
6.119995, 0.230700, 0.091215, 0.322891
6.139995, 0.281101, 0.165629, 0.334187
6.159995, 0.317786, 0.236758, 0.343198
6.179995, 0.355360, 0.297968, 0.358556
6.199995, 0.394553, 0.355848, 0.379040
6.219995, 0.436277, 0.416680, 0.394309
6.239995, 0.493913, 0.503256, 0.422228
6.259995, 0.590609, 0.608253, 0.486078
6.279995, 0.678006, 0.660074, 0.522853
6.299995, 0.707368, 0.637437, 0.475670
6.319995, 0.731426, 0.630379, 0.440027
6.339995, 0.733112, 0.618795, 0.392201
6.359995, 0.697958, 0.604879, 0.339713
6.379995, 0.639235, 0.602061, 0.291953
6.399995, 0.580777, 0.606655, 0.261149
6.419995, 0.520900, 0.582309, 0.238090
6.439995, 0.442446, 0.518725, 0.190330
6.459995, 0.367943, 0.445176, 0.138642
6.479995, 0.290023, 0.357956, 0.078121
6.499995, 0.199429, 0.262015, 0.005770
6.519995, 0.106328, 0.166827, -0.063895
6.539995, 0.019575, 0.077521, -0.131163
6.559995, -0.056460, -0.007723, -0.194502
6.579995, -0.128455, -0.093767, -0.256910
6.599995, -0.195878, -0.172953, -0.314102
6.619995, -0.244637, -0.227593, -0.354383
6.639995, -0.292686, -0.278149, -0.396462
6.659995, -0.339802, -0.321071, -0.424625
6.679995, -0.378996, -0.353895, -0.441337
6.699995, -0.413595, -0.382635, -0.443711
6.719995, -0.448128, -0.412241, -0.438252
6.739995, -0.460490, -0.418300, -0.406493
6.759995, -0.484769, -0.434568, -0.386719
6.779994, -0.493890, -0.452833, -0.360065
6.799994, -0.509892, -0.473983, -0.321204
6.819994, -0.534149, -0.483149, -0.287071
6.839994, -0.529289, -0.478799, -0.242529
6.859994, -0.532307, -0.481484, -0.226039
6.879994, -0.533528, -0.483415, -0.230877
6.899994, -0.486256, -0.484347, -0.201582
6.919994, -0.418655, -0.500016, -0.168536
6.939994, -0.337716, -0.518769, -0.166161
6.959994, -0.245303, -0.460290, -0.141150
6.979994, -0.129831, -0.311151, -0.036841
6.999994, -0.042456, -0.197898, 0.046872
7.019994, 0.017843, -0.134514, 0.095298
7.039994, 0.060321, -0.082093, 0.128988
7.059994, 0.100602, -0.016934, 0.157795
7.079994, 0.140107, 0.058613, 0.176526
7.099994, 0.164741, 0.115272, 0.182118
7.119994, 0.181120, 0.148984, 0.180276
7.139994, 0.194347, 0.167382, 0.175927
7.159994, 0.214942, 0.182762, 0.183961
7.179994, 0.238867, 0.205821, 0.203912
7.199994, 0.262791, 0.243860, 0.213389
7.219994, 0.280590, 0.281678, 0.218782
7.239994, 0.298700, 0.307910, 0.225529
7.259994, 0.306246, 0.319917, 0.220801
7.279994, 0.304848, 0.322735, 0.216274
7.299994, 0.305824, 0.323978, 0.202470
7.319994, 0.310307, 0.319051, 0.177968
7.339994, 0.311372, 0.296459, 0.166228
7.359994, 0.285717, 0.263746, 0.141549
7.379994, 0.269516, 0.258685, 0.126435
7.399994, 0.244926, 0.248166, 0.102733
7.419994, 0.215275, 0.231477, 0.076789
7.439994, 0.177014, 0.203291, 0.042811
7.459994, 0.129898, 0.161501, 0.000200
7.479994, 0.087442, 0.117203, -0.045119
7.499994, 0.049824, 0.078587, -0.077433
7.519994, 0.016290, 0.040947, -0.106617
7.539994, -0.024790, -0.008611, -0.143724
7.559994, -0.061942, -0.050423, -0.178923
7.579994, -0.096164, -0.086554, -0.205488
7.599994, -0.130985, -0.120976, -0.223176
7.619994, -0.164386, -0.157462, -0.232875
7.639994, -0.202026, -0.191639, -0.248676
7.659994, -0.225906, -0.207175, -0.253359
7.679994, -0.240376, -0.221822, -0.253981
7.699994, -0.254202, -0.234761, -0.247877
7.719994, -0.277816, -0.258796, -0.243794
7.739994, -0.292863, -0.285051, -0.235493
7.759994, -0.300542, -0.293662, -0.211835
7.779994, -0.308332, -0.295149, -0.190707
7.799994, -0.308132, -0.279370, -0.160413
7.819993, -0.301208, -0.268562, -0.133360
7.839993, -0.296237, -0.264234, -0.120088
7.859993, -0.286938, -0.259240, -0.109213
7.879993, -0.268894, -0.249631, -0.088685
7.899993, -0.239044, -0.234850, -0.063451
7.919993, -0.198031, -0.210615, -0.030205
7.939993, -0.149894, -0.184471, 0.005903
7.959993, -0.105685, -0.146765, 0.037884
7.979993, -0.060077, -0.105640, 0.071130
7.999993, -0.001376, -0.051844, 0.119511
8.019994, 0.059101, -0.004217, 0.162344
8.039994, 0.118890, 0.046517, 0.204423
8.059995, 0.164231, 0.094033, 0.228037
8.079995, 0.191617, 0.125681, 0.235937
8.099996, 0.208129, 0.154554, 0.235249
8.119996, 0.226505, 0.184782, 0.240487
8.139997, 0.248099, 0.207064, 0.246945
8.159997, 0.258242, 0.216296, 0.244393
8.179997, 0.261016, 0.220047, 0.228813
8.199998, 0.255623, 0.226416, 0.214676
8.219998, 0.242662, 0.232497, 0.200006
8.239999, 0.237713, 0.240642, 0.185558
8.259999, 0.230899, 0.245214, 0.167271
8.280000, 0.236825, 0.259440, 0.156352
8.300000, 0.247101, 0.271757, 0.145721
8.320001, 0.246213, 0.269893, 0.124948
8.340001, 0.235294, 0.254890, 0.100136
8.360002, 0.220491, 0.237380, 0.082182
8.380002, 0.199607, 0.211969, 0.056615
8.400002, 0.176304, 0.178212, 0.027564
8.420003, 0.147009, 0.140573, -0.002308
8.440003, 0.119112, 0.106018, -0.028652
8.460004, 0.087198, 0.073593, -0.052975
8.480004, 0.046673, 0.038705, -0.086865
8.500005, -0.000577, -0.002619, -0.121242
8.520005, -0.042456, -0.040902, -0.154488
8.540006, -0.087974, -0.080717, -0.186269
8.560006, -0.123883, -0.115405, -0.208662
8.580007, -0.149450, -0.145544, -0.224219
8.600007, -0.175039, -0.170201, -0.238157
8.620008, -0.204512, -0.195989, -0.250718
8.640008, -0.227726, -0.218294, -0.255823
8.660008, -0.245569, -0.231166, -0.252294
8.680009, -0.265543, -0.249342, -0.251517
8.700009, -0.285673, -0.268029, -0.245037
8.720010, -0.295393, -0.273333, -0.230855
8.740010, -0.303006, -0.269760, -0.216074
8.760011, -0.302362, -0.260949, -0.193592
8.780011, -0.290422, -0.249764, -0.157573
8.800012, -0.280213, -0.242240, -0.129676
8.820012, -0.271380, -0.236559, -0.110789
8.840013, -0.256022, -0.232697, -0.087264
8.860013, -0.226705, -0.216829, -0.053530
8.880013, -0.198874, -0.191351, -0.022704
8.900014, -0.175261, -0.171000, -0.000799
8.920014, -0.138797, -0.144412, 0.029562
8.940015, -0.093634, -0.107948, 0.069709
8.960015, -0.038505, -0.068666, 0.114007
8.980016, 0.009721, -0.036508, 0.149849
9.000016, 0.051244, -0.008300, 0.175949
9.020017, 0.092768, 0.028430, 0.197188
9.040017, 0.132783, 0.069620, 0.219448
9.060018, 0.171111, 0.109347, 0.243217
9.080018, 0.203047, 0.144124, 0.258841
9.100019, 0.234295, 0.185736, 0.274043
9.120019, 0.256977, 0.219137, 0.279836
9.140019, 0.276817, 0.237202, 0.276063
9.160020, 0.287115, 0.250075, 0.260683
9.180020, 0.293795, 0.266276, 0.244415
9.200021, 0.295371, 0.277150, 0.229612
9.220021, 0.296170, 0.290733, 0.219536
9.240022, 0.298656, 0.303716, 0.206331
9.260022, 0.304004, 0.318119, 0.191551
9.280023, 0.311794, 0.337538, 0.181164
9.300023, 0.307444, 0.339447, 0.166317
9.320024, 0.301252, 0.326974, 0.141704
9.340024, 0.293862, 0.313636, 0.127257
9.360024, 0.287470, 0.296791, 0.114850
9.380025, 0.274776, 0.275242, 0.093345
9.400025, 0.254602, 0.248121, 0.069399
9.420026, 0.223775, 0.210193, 0.039393
9.440026, 0.179100, 0.167205, -0.001531
9.460027, 0.119844, 0.112365, -0.050712
9.480027, 0.054107, 0.046295, -0.106994
9.500028, -0.006436, -0.010897, -0.155753
9.520028, -0.066380, -0.062297, -0.201072
9.540029, -0.124971, -0.112209, -0.248321
9.560029, -0.180032, -0.155309, -0.291154
9.580029, -0.224974, -0.194280, -0.330747
9.600030, -0.258930, -0.224730, -0.359377
9.620030, -0.290666, -0.254602, -0.375045
9.640031, -0.326664, -0.285295, -0.387318
9.660031, -0.363039, -0.311195, -0.398326
9.680032, -0.395840, -0.336628, -0.408624
9.700032, -0.433325, -0.373780, -0.420897
9.720033, -0.446330, -0.387274, -0.395175
9.740033, -0.447329, -0.380971, -0.352253
9.760034, -0.450147, -0.400368, -0.321271
9.780034, -0.450369, -0.422495, -0.268939
9.800035, -0.422317, -0.415237, -0.175927
9.820035, -0.437253, -0.437076, -0.122663
9.840035, -0.473717, -0.472896, -0.125082
9.860036, -0.503278, -0.496043, -0.127368
9.880036, -0.482594, -0.474338, -0.092857
9.900037, -0.417035, -0.443156, -0.044609
9.920037, -0.326797, -0.389138, 0.010165
9.940038, -0.248943, -0.342599, 0.037018
9.960038, -0.179455, -0.302029, 0.051644
9.980039, -0.048337, -0.196921, 0.153001
10.000039, 0.101845, -0.058502, 0.288780
10.020040, 0.235227, 0.058102, 0.371694
10.040040, 0.352386, 0.165895, 0.426645
10.060040, 0.419210, 0.243039, 0.436698
10.080041, 0.461200, 0.280169, 0.416058
10.100041, 0.499172, 0.322647, 0.407137
10.120042, 0.515707, 0.372249, 0.397926
10.140042, 0.522631, 0.436521, 0.405051
10.160043, 0.496154, 0.478355, 0.372826
10.180043, 0.487743, 0.537523, 0.342488
10.200044, 0.542649, 0.645249, 0.375001
10.220044, 0.622967, 0.768267, 0.431927
10.240045, 0.699956, 0.882940, 0.496842
10.260045, 0.730116, 0.898808, 0.529067
10.280046, 0.703285, 0.791326, 0.452811
10.300046, 0.616154, 0.627228, 0.319118
10.320046, 0.534482, 0.509071, 0.216008
10.340047, 0.464351, 0.424714, 0.145056
10.360047, 0.377176, 0.334010, 0.071041
10.380048, 0.312549, 0.263213, 0.011407
10.400048, 0.249941, 0.194946, -0.039682
10.420049, 0.177192, 0.119800, -0.088973
10.440049, 0.089239, 0.033135, -0.147852
10.460050, 0.001997, -0.051267, -0.207130
10.480050, -0.085333, -0.129787, -0.253293
10.500051, -0.172575, -0.206265, -0.302606
10.520051, -0.241463, -0.264567, -0.337183
10.540051, -0.300498, -0.306290, -0.363083
10.560052, -0.354960, -0.343553, -0.381925
10.580052, -0.406471, -0.385232, -0.396883
10.600053, -0.461311, -0.423160, -0.399125
10.620053, -0.508383, -0.466570, -0.400501
10.640054, -0.501325, -0.501414, -0.377087
10.660054, -0.468035, -0.494689, -0.316566
10.680055, -0.479043, -0.498773, -0.277772
10.700055, -0.496642, -0.492159, -0.251561
10.720056, -0.498396, -0.472363, -0.229768
10.740056, -0.488542, -0.452855, -0.205111
10.760056, -0.453898, -0.427177, -0.181874
10.780057, -0.395552, -0.380616, -0.142592
10.800057, -0.333854, -0.337139, -0.114629
10.820058, -0.255712, -0.291931, -0.074969
10.840058, -0.160502, -0.243350, -0.022127
10.860059, -0.091570, -0.193748, -0.009454
10.880059, -0.044054, -0.144767, -0.016490
10.900060, 0.019064, -0.074792, 0.031958
10.920060, 0.085023, 0.000954, 0.100225
10.940061, 0.128655, 0.052043, 0.113830
10.960061, 0.146454, 0.081028, 0.112298
10.980062, 0.145477, 0.090127, 0.095032
11.000062, 0.142992, 0.102533, 0.084423
11.020062, 0.136400, 0.123462, 0.075768
11.040063, 0.124172, 0.125747, 0.062496
11.060063, 0.129254, 0.138043, 0.060921
11.080064, 0.144212, 0.161567, 0.069909
11.100064, 0.154266, 0.179278, 0.072705
11.120065, 0.161945, 0.187689, 0.071418
11.140065, 0.168292, 0.192039, 0.067002
11.160066, 0.161346, 0.185736, 0.053264
11.180066, 0.146587, 0.168225, 0.036708
11.200067, 0.129276, 0.150626, 0.017977
11.220067, 0.117691, 0.133582, 0.002352
11.240067, 0.099670, 0.108281, -0.021150
11.260068, 0.073416, 0.076345, -0.047849
11.280068, 0.044609, 0.044342, -0.069265
11.300069, 0.014337, 0.013738, -0.090904
11.320069, -0.021017, -0.019197, -0.115716
11.340070, -0.058258, -0.052066, -0.142659
11.360070, -0.087597, -0.073882, -0.157395
11.380071, -0.107793, -0.085089, -0.168004
11.400071, -0.118091, -0.093234, -0.177524
11.420072, -0.136822, -0.102622, -0.185891
